월(Monthly),구  분,부문명,시도별,사용검사실적
2019-03,총계,총계,제주,631
2019-03,공공부문,소계,전국,7,070
2019-03,공공부문,소계,서울,0
2019-03,공공부문,소계,인천,0
2019-03,공공부문,소계,경기,2,708
2019-03,공공부문,소계,부산,0
2019-03,공공부문,소계,대구,0
2019-03,공공부문,소계,광주,0
2019-03,공공부문,소계,대전,0
2019-03,공공부문,소계,울산,0
2019-03,공공부문,소계,세종,0
2019-03,공공부문,소계,강원,0
2019-03,공공부문,소계,충북,702
2019-03,공공부문,소계,충남,0
2019-03,공공부문,소계,전북,1
2019-03,공공부문,소계,전남,0
2019-03,공공부문,소계,경북,3,650
2019-03,공공부문,소계,경남,9
2019-03,공공부문,소계,제주,0
2019-03,합,국민임대,전국,0
