월(Monthly),구  분,부문명,시도별,사용검사실적
2015-02,LH,공공분양,전남,0
2015-02,LH,공공분양,경북,0
2015-02,LH,공공분양,경남,0
2015-02,LH,공공분양,제주,0
2015-02,주택업체,소계,전국,948
2015-02,주택업체,소계,서울,0
2015-02,주택업체,소계,인천,0
2015-02,주택업체,소계,경기,0
2015-02,주택업체,소계,부산,0
2015-02,주택업체,소계,대구,0
2015-02,주택업체,소계,광주,0
2015-02,주택업체,소계,대전,0
2015-02,주택업체,소계,울산,0
2015-02,주택업체,소계,세종,559
2015-02,주택업체,소계,강원,0
2015-02,주택업체,소계,충북,0
2015-02,주택업체,소계,충남,299
2015-02,주택업체,소계,전북,0
2015-02,주택업체,소계,전남,90
2015-02,주택업체,소계,경북,0
2015-02,주택업체,소계,경남,0
2015-02,주택업체,소계,제주,0
2015-02,주택업체,국민임대,전국,0
2015-02,주택업체,국민임대,서울,0
2015-02,주택업체,국민임대,인천,0
2015-02,주택업체,국민임대,경기,0
2015-02,주택업체,국민임대,부산,0
2015-02,주택업체,국민임대,대구,0
2015-02,주택업체,국민임대,광주,0
2015-02,주택업체,국민임대,대전,0
2015-02,주택업체,국민임대,울산,0
2015-02,주택업체,국민임대,세종,0
2015-02,주택업체,국민임대,강원,0
2015-02,주택업체,국민임대,충북,0
2015-02,주택업체,국민임대,충남,0
2015-02,주택업체,국민임대,전북,0
2015-02,주택업체,국민임대,전남,0
2015-02,주택업체,국민임대,경북,0
2015-02,주택업체,국민임대,경남,0
2015-02,주택업체,국민임대,제주,0
2015-02,주택업체,공공임대,전국,948
2015-02,주택업체,공공임대,서울,0
2015-02,주택업체,공공임대,인천,0
2015-02,주택업체,공공임대,경기,0
2015-02,주택업체,공공임대,부산,0
2015-02,주택업체,공공임대,대구,0
2015-02,주택업체,공공임대,광주,0
2015-02,주택업체,공공임대,대전,0
2015-02,주택업체,공공임대,울산,0
2015-02,주택업체,공공임대,세종,559
2015-02,주택업체,공공임대,강원,0
2015-02,주택업체,공공임대,충북,0
2015-02,주택업체,공공임대,충남,299
2015-02,주택업체,공공임대,전북,0
2015-02,주택업체,공공임대,전남,90
2015-02,주택업체,공공임대,경북,0
2015-02,주택업체,공공임대,경남,0
2015-02,주택업체,공공임대,제주,0
2015-02,주택업체,공공분양,전국,0
2015-02,주택업체,공공분양,서울,0
2015-02,주택업체,공공분양,인천,0
2015-02,주택업체,공공분양,경기,0
2015-02,주택업체,공공분양,부산,0
2015-02,주택업체,공공분양,대구,0
2015-02,주택업체,공공분양,광주,0
2015-02,주택업체,공공분양,대전,0
2015-02,주택업체,공공분양,울산,0
2015-02,주택업체,공공분양,세종,0
2015-02,주택업체,공공분양,강원,0
2015-02,주택업체,공공분양,충북,0
2015-02,주택업체,공공분양,충남,0
2015-02,주택업체,공공분양,전북,0
2015-02,주택업체,공공분양,전남,0
2015-02,주택업체,공공분양,경북,0
2015-02,주택업체,공공분양,경남,0
2015-02,주택업체,공공분양,제주,0
2015-02,민간부문,소계,전국,27,665
2015-02,민간부문,소계,서울,3,924
2015-02,민간부문,소계,인천,741
2015-02,민간부문,소계,경기,9,367
2015-02,민간부문,소계,부산,1,020
2015-02,민간부문,소계,대구,785
2015-02,민간부문,소계,광주,1,178
2015-02,민간부문,소계,대전,377
2015-02,민간부문,소계,울산,1,971
2015-02,민간부문,소계,세종,805
2015-02,민간부문,소계,강원,344
2015-02,민간부문,소계,충북,325
2015-02,민간부문,소계,충남,618
2015-02,민간부문,소계,전북,950
2015-02,민간부문,소계,전남,694
2015-02,민간부문,소계,경북,2,654
2015-02,민간부문,소계,경남,1,282
2015-02,민간부문,소계,제주,630
2015-02,민간,민간임대,전국,604
2015-02,민간,민간임대,서울,189
2015-02,민간,민간임대,인천,0
2015-02,민간,민간임대,경기,0
2015-02,민간,민간임대,부산,0
2015-02,민간,민간임대,대구,0
2015-02,민간,민간임대,광주,0
2015-02,민간,민간임대,대전,0
2015-02,민간,민간임대,울산,157
2015-02,민간,민간임대,세종,0
2015-02,민간,민간임대,강원,0
2015-02,민간,민간임대,충북,0
2015-02,민간,민간임대,충남,174
2015-02,민간,민간임대,전북,0
2015-02,민간,민간임대,전남,84
2015-02,민간,민간임대,경북,0
2015-02,민간,민간임대,경남,0
2015-02,민간,민간임대,제주,0
2015-02,민간,민간분양,전국,27,061
2015-02,민간,민간분양,서울,3,735
2015-02,민간,민간분양,인천,741
2015-02,민간,민간분양,경기,9,367
2015-02,민간,민간분양,부산,1,020
2015-02,민간,민간분양,대구,785
2015-02,민간,민간분양,광주,1,178
2015-02,민간,민간분양,대전,377
2015-02,민간,민간분양,울산,1,814
2015-02,민간,민간분양,세종,805
2015-02,민간,민간분양,강원,344
2015-02,민간,민간분양,충북,325
2015-02,민간,민간분양,충남,444
2015-02,민간,민간분양,전북,950
2015-02,민간,민간분양,전남,610
2015-02,민간,민간분양,경북,2,654
2015-02,민간,민간분양,경남,1,282
2015-02,민간,민간분양,제주,630
2015-03,총계,총계,전국,29,804
2015-03,총계,총계,서울,3,981
2015-03,총계,총계,인천,954
2015-03,총계,총계,경기,5,067
2015-03,총계,총계,부산,2,493
2015-03,총계,총계,대구,2,801
2015-03,총계,총계,광주,900
2015-03,총계,총계,대전,124
2015-03,총계,총계,울산,1,364
2015-03,총계,총계,세종,560
2015-03,총계,총계,강원,257
2015-03,총계,총계,충북,1,291
2015-03,총계,총계,충남,1,576
2015-03,총계,총계,전북,960
2015-03,총계,총계,전남,1,476
2015-03,총계,총계,경북,2,988
2015-03,총계,총계,경남,2,580
2015-03,총계,총계,제주,432
2015-03,공공부문,소계,전국,5,781
2015-03,공공부문,소계,서울,29
2015-03,공공부문,소계,인천,0
2015-03,공공부문,소계,경기,1,503
2015-03,공공부문,소계,부산,43
2015-03,공공부문,소계,대구,2,405
2015-03,공공부문,소계,광주,735
2015-03,공공부문,소계,대전,0
2015-03,공공부문,소계,울산,0
2015-03,공공부문,소계,세종,0
2015-03,공공부문,소계,강원,0
2015-03,공공부문,소계,충북,0
2015-03,공공부문,소계,충남,0
2015-03,공공부문,소계,전북,210
2015-03,공공부문,소계,전남,0
2015-03,공공부문,소계,경북,856
2015-03,공공부문,소계,경남,0
2015-03,공공부문,소계,제주,0
2015-03,합,국민임대,전국,1,551
2015-03,합,국민임대,서울,0
2015-03,합,국민임대,인천,0
2015-03,합,국민임대,경기,1,255
2015-03,합,국민임대,부산,0
