월(Monthly),구  분,부문명,시도별,사용검사실적
2023-02,민간,민간임대,전국,3,143
2023-02,민간,민간임대,서울,0
2023-02,민간,민간임대,인천,910
2023-02,민간,민간임대,경기,528
2023-02,민간,민간임대,부산,0
2023-02,민간,민간임대,대구,0
2023-02,민간,민간임대,광주,490
2023-02,민간,민간임대,대전,0
2023-02,민간,민간임대,울산,0
2023-02,민간,민간임대,세종,0
2023-02,민간,민간임대,강원,1,215
2023-02,민간,민간임대,충북,0
2023-02,민간,민간임대,충남,0
2023-02,민간,민간임대,전북,0
2023-02,민간,민간임대,전남,0
2023-02,민간,민간임대,경북,0
2023-02,민간,민간임대,경남,0
2023-02,민간,민간임대,제주,0
2023-02,민간,민간분양,전국,30,454
2023-02,민간,민간분양,서울,3,789
2023-02,민간,민간분양,인천,2,908
2023-02,민간,민간분양,경기,12,964
2023-02,민간,민간분양,부산,202
2023-02,민간,민간분양,대구,1,460
2023-02,민간,민간분양,광주,388
2023-02,민간,민간분양,대전,526
2023-02,민간,민간분양,울산,40
2023-02,민간,민간분양,세종,48
2023-02,민간,민간분양,강원,1,230
2023-02,민간,민간분양,충북,1,110
2023-02,민간,민간분양,충남,1,865
2023-02,민간,민간분양,전북,1,437
2023-02,민간,민간분양,전남,901
2023-02,민간,민간분양,경북,841
2023-02,민간,민간분양,경남,483
2023-02,민간,민간분양,제주,262
2023-03,총계,총계,전국,26,355
2023-03,총계,총계,서울,2,874
2023-03,총계,총계,인천,551
2023-03,총계,총계,경기,9,509
2023-03,총계,총계,부산,1,629
2023-03,총계,총계,대구,3,676
2023-03,총계,총계,광주,210
2023-03,총계,총계,대전,1,869
2023-03,총계,총계,울산,442
2023-03,총계,총계,세종,20
2023-03,총계,총계,강원,199
2023-03,총계,총계,충북,233
2023-03,총계,총계,충남,1,280
2023-03,총계,총계,전북,645
2023-03,총계,총계,전남,2,330
2023-03,총계,총계,경북,290
2023-03,총계,총계,경남,259
2023-03,총계,총계,제주,339
2023-03,공공부문,소계,전국,2,727
2023-03,공공부문,소계,서울,60
2023-03,공공부문,소계,인천,0
2023-03,공공부문,소계,경기,2,667
2023-03,공공부문,소계,부산,0
